group,field,type,operators,aliases
identity,ticker,text,"equals, in, contains","symbol, asset"
identity,sector,category,"equals, in, contains","sector, gics_sector"
identity,industry,category,"equals, in, contains","industry, gics_industry"
identity,country,category,"equals, in","country, region"
allocation,weight,numeric,"gt, lt, between, top_pct","weight, target_weight, allocation_weight, portfolio_weight"
allocation,engine_weight,numeric,"gt, lt, between, top_pct","engine_weight, optimized_weight, weight_engine"
allocation,rank,numeric,"lt, between","rank, ranking"
score,composite_score,numeric,"gt, lt, between, top_pct","composite_score, compositescore, score, selection_score"
score,value_score,numeric,"gt, lt, between, top_pct","value_score, valuation_score, valuationscore"
score,quality_score,numeric,"gt, lt, between, top_pct","quality_score, qualityscore"
score,momentum_score,numeric,"gt, lt, between, top_pct","momentum_score, momentumscore"
score,risk_score,numeric,"gt, lt, between, top_pct","risk_score, riskscore"
score,growth_score,numeric,"gt, lt, between, top_pct","growth_score, growthscore"
score,ml_score,numeric,"gt, lt, between, top_pct","ml_score, model_score, prediction_score, deep_stock_score"
risk_return,annual_return,numeric,"gt, lt, between, top_pct","annual_return, return_ann, expected_return"
risk_return,volatility,numeric,"gt, lt, between, bottom_pct","volatility, annual_volatility, vol"
risk_return,max_drawdown,numeric,"gt, lt, between","max_drawdown, drawdown"
risk_return,sharpe,numeric,"gt, lt, between, top_pct","sharpe, sharpe_ratio"
risk_return,upside_base,numeric,"gt, lt, between, top_pct","upside_base, upside, base_upside"
risk_return,downside_bear,numeric,"gt, lt, between","downside_bear, downside, bear_downside"
valuation,trailing_pe,numeric,"gt, lt, between, bottom_pct","trailing_pe, pe_ratio, peratio"
valuation,price_to_book,numeric,"gt, lt, between, bottom_pct","price_to_book, pb_ratio, pbratio"
valuation,ev_to_ebitda_proxy,numeric,"gt, lt, between, bottom_pct","ev_to_ebitda_proxy, evebitda, ev_ebitda"
valuation,fcf_yield,numeric,"gt, lt, between, top_pct","fcf_yield, free_cash_flow_yield"
