dataset_id,region,authority,name,use_case,frequency,format,granularity,key_fields,official_url,limitations,priority
sec_13dg,USA,SEC EDGAR,Schedules 13D / 13G,"Beneficial ownership above 5%, activist/passive event monitor.",Event-driven,EDGAR filings XML/HTML/text,issuer-owner filing event,"cik, accession, filing_date",https://www.sec.gov/edgar/search/,Text extraction varies; amendments require careful event state tracking.,1
sec_13f,USA,SEC,Form 13F Data Sets,"Institutional holdings, position changes, clone portfolios, crowdedness.",Quarterly with filing lag,ZIP/XML/TSV/CSV depending on SEC release,manager-security holding snapshot,"cik, cusip, issuer_name, report_date",https://www.sec.gov/data-research/sec-markets-data/form-13f-data-sets,Delayed snapshots; no intraperiod trades; long US-listed holdings focus.,1
sec_form4,USA,SEC,"Insider Transactions Data Sets / Forms 3, 4, 5","Insider buys/sells, cluster buying, officer/director conviction.",Event-driven,XML/CSV data sets,insider transaction,"cik, accession, transaction_code, filing_date",https://www.sec.gov/data-research/sec-markets-data/insider-transactions-data-sets,Transaction intent is context-dependent; plans and grants need filtering.,1
usaspending,USA,USAspending.gov,USAspending API,Federal contract/grant awards and government demand beneficiaries.,Daily/API updates,JSON API/CSV download,award recipient,"recipient_name, award_id, award_date",https://api.usaspending.gov/,Recipient-to-listed-parent mapping is non-trivial and must be audited.,1
cftc_cot,USA,CFTC,Commitments of Traders,"Macro futures positioning, managed money trend/extreme percentiles.",Weekly,CSV/TXT,market participant aggregate,"market, report_date",https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,Aggregate futures positioning; not single-fund or issuer-level data.,2
sec_nport,USA,SEC,Form N-PORT Data Sets,"Registered fund holdings, liquidity profile, ETF/mutual fund transparency.",Monthly/SEC dataset cadence,ZIP/XML/CSV,fund portfolio snapshot,"cik, series, isin/cusip, report_date",https://www.sec.gov/data-research/sec-markets-data/form-n-port-data-sets,Complex fund taxonomy; disclosure lag; not hedge fund transparency.,2
treasury_tic,USA,U.S. Treasury,Treasury International Capital,Cross-border holdings and capital flow support by country/asset bucket.,Monthly/quarterly depending table,CSV/XLS,country-asset flow/holding,"country, asset_class, report_date",https://home.treasury.gov/data/treasury-international-capital-tic-system,Macro flow proxy; not security-level trade attribution.,2
esma_firds,EU,ESMA,FIRDS financial instrument reference data,ISIN/MIC/issuer reference and EU security normalization.,Daily/reference data cadence,XML/CSV files,instrument reference,"isin, lei, mic",https://registers.esma.europa.eu/publication/,"Reference data, not ownership transparency.",3
ted_procurement,EU,European Union,TED public procurement,EU public procurement awards and contractor exposure.,Daily/publication cadence,CSV/XML/API depending release,procurement notice/award,"notice_id, recipient_name, date",https://ted.europa.eu/,Recipient normalization and listed-parent mapping are hard; country coverage differs.,3
ecb_sdw,EU,ECB,Statistical Data Warehouse,"Rates, macro-financial aggregates and flow proxies.",Series-dependent,API/CSV,macro time series,"series_key, date",https://sdw.ecb.europa.eu/,Macro context only; no issuer-level smart money visibility.,4
national_disclosures,EU/UK,National regulators,Major holdings / insider dealing / regulated disclosures,Country-level beneficial ownership and insider proxies.,Event-driven/country-specific,HTML/CSV/PDF/API depending regulator,filing event,"issuer, holder, date",https://www.esma.europa.eu/,Fragmented; no single EDGAR equivalent; each connector must carry caveats.,4
