name,category,env_var,configured,configured_env,configured_catalog,credential_preview,openbb_credential,data_type,free_tier,source
Alpha Vantage,Market Data / Fundamentals,ALPHA_VANTAGE_API_KEY,False,False,False,nan,alpha_vantage_api_key,"OHLCV, fundamentals, FX, crypto, indicators","Yes, rate-limited",missing
Tiingo,Market Data / News,TIINGO_TOKEN,False,False,False,nan,tiingo_token,"Equity prices, IEX data, news, crypto","Yes, limited",missing
Financial Modeling Prep,Fundamentals / Market Data,FMP_API_KEY,False,False,False,nan,fmp_api_key,"Statements, ratios, profiles, prices","Yes, limited",missing
Polygon,Market Data,POLYGON_API_KEY,False,False,False,nan,polygon_api_key,"Stocks, options, indices, FX, crypto","Yes, limited",missing
Intrinio,Fundamentals / Market Data,INTRINIO_API_KEY,False,False,False,nan,intrinio_api_key,"Fundamentals, estimates, prices, ownership",Developer/trial dependent,missing
FRED,Macro,FRED_API_KEY,False,False,False,nan,fred_api_key,"Macro, rates, inflation, labor",Yes,missing
BLS,Macro / Labor,BLS_API_KEY,False,False,False,nan,,"Labor market, CPI, PPI, productivity",Yes,missing
CFTC,Futures / Positioning,CFTC_APP_TOKEN,False,False,False,nan,,"Commitments of Traders, futures positioning",Yes,missing
Congress.gov,Government / Policy,CONGRESS_GOV_API_KEY,False,False,False,nan,,"Bills, amendments, members, policy events",Yes,missing
EconDB,Macro,ECONDB_API_KEY,False,False,False,nan,,Global macro time series,Terms dependent,missing
EIA,Energy / Macro,EIA_API_KEY,False,False,False,nan,,"Energy prices, inventories, production",Yes,missing
Nasdaq Data Link,Market / Alternative / Fundamentals,NASDAQ_API_KEY,False,False,False,nan,nasdaq_api_key,"Vendor datasets, prices, fundamentals, alternative data",Some free datasets,missing
