dataset_id,region,authority,name,use_case,frequency,limitations,priority
sec_13dg,USA,SEC EDGAR,Schedules 13D / 13G,"Beneficial ownership above 5%, activist/passive event monitor.",Event-driven,Text extraction varies; amendments require careful event state tracking.,1
sec_13f,USA,SEC,Form 13F Data Sets,"Institutional holdings, position changes, clone portfolios, crowdedness.",Quarterly with filing lag,Delayed snapshots; no intraperiod trades; long US-listed holdings focus.,1
sec_form4,USA,SEC,"Insider Transactions Data Sets / Forms 3, 4, 5","Insider buys/sells, cluster buying, officer/director conviction.",Event-driven,Transaction intent is context-dependent; plans and grants need filtering.,1
usaspending,USA,USAspending.gov,USAspending API,Federal contract/grant awards and government demand beneficiaries.,Daily/API updates,Recipient-to-listed-parent mapping is non-trivial and must be audited.,1
cftc_cot,USA,CFTC,Commitments of Traders,"Macro futures positioning, managed money trend/extreme percentiles.",Weekly,Aggregate futures positioning; not single-fund or issuer-level data.,2
sec_nport,USA,SEC,Form N-PORT Data Sets,"Registered fund holdings, liquidity profile, ETF/mutual fund transparency.",Monthly/SEC dataset cadence,Complex fund taxonomy; disclosure lag; not hedge fund transparency.,2
treasury_tic,USA,U.S. Treasury,Treasury International Capital,Cross-border holdings and capital flow support by country/asset bucket.,Monthly/quarterly depending table,Macro flow proxy; not security-level trade attribution.,2
esma_firds,EU,ESMA,FIRDS financial instrument reference data,ISIN/MIC/issuer reference and EU security normalization.,Daily/reference data cadence,"Reference data, not ownership transparency.",3
ted_procurement,EU,European Union,TED public procurement,EU public procurement awards and contractor exposure.,Daily/publication cadence,Recipient normalization and listed-parent mapping are hard; country coverage differs.,3
ecb_sdw,EU,ECB,Statistical Data Warehouse,"Rates, macro-financial aggregates and flow proxies.",Series-dependent,Macro context only; no issuer-level smart money visibility.,4
national_disclosures,EU/UK,National regulators,Major holdings / insider dealing / regulated disclosures,Country-level beneficial ownership and insider proxies.,Event-driven/country-specific,Fragmented; no single EDGAR equivalent; each connector must carry caveats.,4
